feature,family,log_loss_increase,std,above_noise
signed_trade_volume_10,trades,0.021465408648549157,0.0006438249397260788,True
signed_trade_volume_50,trades,0.014539021165820221,0.0003125132624342658,True
spread,book,0.007581713236669207,0.0001717452274834463,True
ofi_50,ofi,0.007532721356346306,0.00016388672673194995,True
ofi_100,ofi,0.005590491367810158,0.00017222307205590282,True
log_ask_size_1,depth,0.0024059657530033584,0.00021143726443545192,True
ofi_10,ofi,0.0023619429512214962,0.0001376748860323505,True
log_return_10,book,0.0023415121064810362,0.0002211529067033509,True
realized_vol_10,book,0.0019281767845398035,7.861553394720398e-05,True
log_bid_size_1,depth,0.0017995278899862299,0.0002583938746081784,True
realized_vol_100,book,0.0015908878565203954,0.00015558317078486655,True
event_rate_50,activity,0.001385583257552825,5.157355516862631e-05,True
trade_volume_100,trades,0.0012887281012246231,0.000154131297251439,True
log_return_100,book,0.0011777627127756095,0.00010457552199770825,True
signed_trade_volume_100,trades,0.0010494385416279783,0.00021577594163926336,True
realized_vol_50,book,0.0008245123558287438,0.00012892457176325202,True
log_return_50,book,0.0006678922861804937,0.00010453578464939925,True
net_order_flow_10,flow,0.0005794300880884284,3.9688564149491564e-05,True
net_order_flow_100,flow,0.000573640280949661,3.97693987847022e-05,True
log_ask_depth_5,depth,0.0005542603937325197,0.00017858128155072442,True
cancel_volume_10,flow,0.00032016583255078945,7.193305069973594e-05,True
event_rate_100,activity,0.0002896929020501426,0.00012998088883747622,True
log_time_gap,activity,0.00023888099893809578,3.204912651099647e-05,True
net_order_flow_50,flow,0.00022041172385367513,5.2704333769074156e-05,True
trade_volume_50,trades,6.877052298124298e-05,5.6738367970591556e-05,True
imbalance_5,book,3.0856121773470414e-05,0.00013258086421201633,True
trade_volume_10,trades,2.9501482957838832e-05,3.181425336196123e-05,True
noise,noise,0.0,0.0,False
cancel_volume_50,flow,-9.712593713468997e-05,8.190484518593744e-05,False
imbalance_1,book,-0.00028302457081956777,7.021989564932393e-05,False
weighted_mid_offset,book,-0.00030530000742283735,5.5551299496648636e-05,False
log_bid_depth_5,depth,-0.0004772582983962437,5.0068031407819293e-05,False
cancel_volume_100,flow,-0.0007796960352584481,0.0001386552620915781,False
imbalance_10,book,-0.001021552601086051,5.444331989164513e-05,False
